event_id,event_title,category_id,category_name,date,longitude,latitude,nearest_city_id,nearest_city_name,nearest_city_country,nearest_city_latitude,nearest_city_longitude,nearest_disaster_distance_km
EONET_19855,"Cameron Creek Unit 1 RX Prescribed Fire, Fergus, Montana",wildfires,Wildfires,2026-04-09,-109.100917,46.751617,US-DENVER,Denver,United States,39.7392,-104.9903,847.54
EONET_19579,"Bienville CPT 44 45 RX Prescribed Fire, Scott, Mississippi",wildfires,Wildfires,2026-04-09,-89.5408,32.3711,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,273.79
EONET_19415,"Rx Cherokee 3464 Prescribed Fire, Cherokee, Texas",wildfires,Wildfires,2026-04-09,-95.13378,31.56518,US-HOUSTON,Houston,United States,29.7604,-95.3698,201.95
EONET_19416,"Rosindale Road Wildfire, Bladen, North Carolina",wildfires,Wildfires,2026-04-09,-78.5313889,34.435,US-MIAMI,Miami,United States,25.7617,-80.1918,977.52
EONET_19586,"RX BO/MAG Flat Top 1 Prescribed Fire, Logan, Arkansas",wildfires,Wildfires,2026-04-09,-93.666974,35.243252,US-DALLAS,Dallas,United States,32.7767,-96.797,398.02
EONET_19406,"RX Blanchard 2 Prescribed Fire, Stone, Arkansas",wildfires,Wildfires,2026-04-09,-92.167783,35.95415,US-DALLAS,Dallas,United States,32.7767,-96.797,552.48
EONET_19418,"HUGHEY Wildfire, Osage, Oklahoma",wildfires,Wildfires,2026-04-09,-96.059996,36.695248,US-DALLAS,Dallas,United States,32.7767,-96.797,440.89
EONET_19403,"Chickasawhay CPT 378 RX Prescribed Fire, Wayne, Mississippi",wildfires,Wildfires,2026-04-09,-88.8983,31.5102,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,206.46
EONET_19588,"RX PHILLIPS ORCHARD Prescribed Fire, Garland, Arkansas",wildfires,Wildfires,2026-04-09,-93.187444,34.664083,US-DALLAS,Dallas,United States,32.7767,-96.797,394.28
EONET_19590,"RX PCS South Waldron Ridge 1&amp;2 Prescribed Fire, Scott, Arkansas",wildfires,Wildfires,2026-04-09,-93.970228,34.869867,US-DALLAS,Dallas,United States,32.7767,-96.797,349.77
EONET_19580,"Homochitto BB 59 RX Prescribed Fire, Franklin, Mississippi",wildfires,Wildfires,2026-04-09,-90.966,31.401,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,182.51
EONET_19404,"RX CALE BU 363 Prescribed Fire, Rapides, Louisiana",wildfires,Wildfires,2026-04-09,-92.634817,31.142233,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,278.91
EONET_19410,"Compartment 180 RX Prescribed Fire, Greene, Georgia",wildfires,Wildfires,2026-04-09,-83.27194,33.655288,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,762.95
EONET_19419,"HC 1 Wildfire, San Miguel, New Mexico",wildfires,Wildfires,2026-04-08,-104.67037,35.68405,US-DENVER,Denver,United States,39.7392,-104.9903,451.79
EONET_19424,"MA Mainline Non-Statistical/Other, Polk, Texas",wildfires,Wildfires,2026-04-08,-94.638858,30.492511,US-HOUSTON,Houston,United States,29.7604,-95.3698,107.56
EONET_19463,Wildfire in Australia 1028234,wildfires,Wildfires,2026-04-08,125.02254306305257,-16.86634549176335,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13109.72
EONET_19464,Wildfire in Australia 1028235,wildfires,Wildfires,2026-04-08,116.3675376336521,-32.54535710664647,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,14726.75
EONET_19483,Wildfire in Australia 1028275,wildfires,Wildfires,2026-04-08,131.098073582243,-15.88228251063748,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12513.92
EONET_19515,Wildfire in Australia 1028299,wildfires,Wildfires,2026-04-08,116.47479618689897,-32.03710597555488,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,14694.66
EONET_19603,Wildfire in Laos 1028345,wildfires,Wildfires,2026-04-08,101.72190861353543,20.56922442024931,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12044.3
EONET_19604,Wildfire in India 1028325,wildfires,Wildfires,2026-04-08,79.11953493933217,13.986825038892833,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,13788.59
EONET_19605,Wildfire in India 1028336,wildfires,Wildfires,2026-04-08,79.36342614099053,22.14603943374794,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12920.9
EONET_19660,Wildfire in India 1028354,wildfires,Wildfires,2026-04-08,82.66933143942349,27.280520411711937,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12272.42
EONET_19661,Wildfire in India 1028355,wildfires,Wildfires,2026-04-08,83.70835871367413,26.37827719204369,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12330.48
EONET_19662,Wildfire in India 1028372,wildfires,Wildfires,2026-04-08,83.04525750306911,27.02323486917199,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12286.49
EONET_19745,Wildfire in Thailand 1028451,wildfires,Wildfires,2026-04-08,100.83802055035993,17.577350156417836,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12371.37
EONET_19746,Wildfire in Laos 1028447,wildfires,Wildfires,2026-04-08,102.71026832868604,20.25842973010114,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12014.16
EONET_19747,Wildfire in Sudan 1028442,wildfires,Wildfires,2026-04-08,30.064402756086185,8.818112552268088,US-MIAMI,Miami,United States,25.7617,-80.1918,11561.47
